C:\SVN\TC\Simplex\non-dita\Datasheets\Photoelectric_Beam_Duct_Detectors\S4098-0015\S4098-0015.docx,TrueAlarm Photoelectric Smoke Detectors for Two-Wire and Four-Wire Bases   , Photoelectric Smoke Detectors  Beam and Duct Detectors     4098-9601  4098-9605 and bases
C:\SVN\TC\Simplex\non-dita\Datasheets\Photoelectric_Beam_Duct_Detectors\S4098-0017\S4098-0017.docx,TrueSense Photoelectric Detectors with Heat Detection   , Photoelectric Smoke Detectors  Beam and Duct Detectors     4098-9602
C:\SVN\TC\Simplex\non-dita\Datasheets\TrueAlarm_Addressable\S4098-0019\S4098-0019.docx,TrueAlarm Sensors and Bases (Sensors 4098-9714 and 4098-9733)  , TrueAlarm Addressable Analog Smoke and Heat Sensing Devices    4098 Series
C:\SVN\TC\Simplex\non-dita\Datasheets\TrueAlarm_Addressable\S4098-0021\S4098-0021.docx,TrueAlarm In-Duct Sensor Housing for 4098-9714 Photoelectric Smoke Sensor  , TrueAlarm Addressable Analog Smoke and Heat Sensing Devices    4098-9750  4098-9751
C:\SVN\TC\Simplex\non-dita\Datasheets\TrueAlarm_Addressable\S4098-0024\S4098-0024.docx,TrueAlarm Multi Sensor Model 4098-9754 Providing TrueSense Early Fire Detection, TrueAlarm Addressable Analog Smoke and Heat Sensing Devices    4098-9754
C:\SVN\TC\Simplex\non-dita\Datasheets\TrueAlarm_Addressable\S4098-0025\S4098-0025.docx,IDNet Isolator Base for 4007ES  4008  4010  4010ES  4100ES  and 4100U IDNet  , TrueAlarm Addressable Analog Smoke and Heat Sensing Devices    4098-9793
C:\SVN\TC\Simplex\non-dita\Datasheets\TrueAlarm_Addressable\S4098-0028\S4098-0028.docx,Sounder Base for use w/TrueAlarm Photoelectric and Heat Sensors  , TrueAlarm Addressable Analog Smoke and Heat Sensing Devices    4098-9794
C:\SVN\TC\Simplex\non-dita\Datasheets\Photoelectric_Beam_Duct_Detectors\S4098-0029\S4098-0029.docx,TrueAlarm Detector Duct Housing with Detector   , Photoelectric Smoke Detectors  Beam and Duct Detectors     4098-9685  4098-9686  4098-9688
C:\SVN\TC\Simplex\non-dita\Datasheets\TrueAlarm_Addressable\S4098-0030\S4098-0030.docx,TrueAlarm Sensor Duct Housing with Sensor    also compatible with model 4008 fire alarm control panel, TrueAlarm Addressable Analog Smoke and Heat Sensing Devices    4098-9755  4098-9756
C:\SVN\TC\Simplex\non-dita\Datasheets\Photoelectric_Beam_Duct_Detectors\S4098-0031\S4098-0031.docx,Stand Alone TrueAlarm Detector Duct housing with Detector, Photoelectric Smoke Detectors  Beam and Duct Detectors     4098-9687  4098-9842
C:\SVN\TC\Simplex\non-dita\Datasheets\TrueAlarm_Addr_Accessories\S4098-0032\S4098-0032.docx,Weatherproof Duct Housing Enclosure  , TrueAlarm Addressable Peripheral Accessories  4098-9845
C:\SVN\TC\Simplex\non-dita\Datasheets\TrueAlarm_Addressable\S4098-0033\S4098-0033.docx,TrueAlarm Multi Sensor 4098-9754 with Dual Address Bases  , TrueAlarm Addressable Analog Smoke and Heat Sensing Devices    4098-9795  4098-9796
C:\SVN\TC\Simplex\non-dita\Datasheets\TrueAlarm_Addressable\S4098-0034\S4098-0034.docx,QuickConnect2 TrueAlarm Sensor for use with 4098-9788 base  , TrueAlarm Addressable Analog Smoke and Heat Sensing Devices    4098-9757
